                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1121,                 1.3421,                 1.2352,                      1,                0.99199,                  0.995,                0.61924,                  1.256,                 1.6615,                 1.5433,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1083,                 1.1438,                 1.1826,                      1,                0.99199,                  0.995,                0.61924,                  1.256,                 1.6615,                 1.5433,               0.001307,               0.001307,               0.001307
                     37,                  1.152,                 1.2188,                 1.2388,                0.96175,                  0.875,                0.96227,                0.64107,                 1.2852,                 1.5726,                   1.54,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0036,                 1.1626,                 1.1237,                0.96175,                  0.875,                0.96227,                0.64107,                 1.2852,                 1.5726,                   1.54,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1122,                 1.2801,                 1.2774,                0.98423,                  0.875,                  0.955,                0.59646,                 1.4264,                 1.6143,                  1.613,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0708,                 1.3494,                  1.206,                0.98423,                  0.875,                  0.955,                0.59646,                 1.4264,                 1.6143,                  1.613,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0578,                 1.1698,                 1.1787,                0.99009,                  0.875,                0.98167,                0.71546,                  1.148,                 1.4022,                 1.3593,               0.001208,               0.001208,               0.001208
                     42,                 1.0139,                 1.2037,                 1.1671,                0.99009,                  0.875,                0.98167,                0.71546,                  1.148,                 1.4022,                 1.3593,              0.0011882,              0.0011882,              0.0011882
                     43,                0.97882,                 1.1524,                 1.1355,                0.88796,                0.99167,                0.98167,                0.66051,                 1.2403,                 1.5288,                 1.3599,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0704,                 1.1944,                  1.163,                0.88796,                0.99167,                0.98167,                0.66051,                 1.2403,                 1.5288,                 1.3599,              0.0011486,              0.0011486,              0.0011486
